Product,Current Price,Originl Price,Discount,Customer Ratings,Reviewed By
"Huawei Y6s, 6.09"" - 3GB/64GB, 3020 MAh, 4G, Dual Sim - Orchid Blue + Free Back Cover","KSh 13,199","KSh 16,999",22%,4.6 out of 5,15
"Huawei Y6s, 6.09"", 3 GB + 64 GB, 3020 MAh, 4G, (Dual SIM) - Starry Black + Free Headset","KSh 13,199","KSh 16,999",22%,4.6 out of 5,29
"Huawei Y6p,6.3"",64GB + 3GB,4G,5000MAh Emrald Green+Free OTGcable,RingStand,Selfisetick","KSh 14,890","KSh 19,999",26%,4.5 out of 5,2
"Huawei Y6s, 6.09"",64GB+3GB RAM(Dual SIM),-Blue+Free Selfie Stick, Back Cover, OTG Cable","KSh 13,095","KSh 17,999",27%,4 out of 5,9
"Huawei Y6p,6.3"",64GB+3GB(Dual Sim), 5000 MAh Phantom Purple + FREE SELFIE STICK & RING","KSh 14,999","KSh 19,000",21%,4.5 out of 5,6
"Huawei Y5 Lite, 5.45"" 16GB ROM + 1 GB RAM (Single SIM) Blue","KSh 8,500","KSh 14,500",41%,4.3 out of 5,7
"Huawei Y8p, 6.3"" OLED, 128GB + 6GB(Dual SIM), Breathing Crystal","KSh 20,699","KSh 28,999",Official Store,NA,NA
"Huawei Y6s, 6.09"" - 3GB + 64GB, 4G (Dual SIM), Orchid Black + FREE Selfie Stick & OTG","KSh 13,299","KSh 14,499",8%,4 out of 5,3
"Huawei Y6s, 6.09""-3GB/64GB,3020 MAh, Dual -Starry Black+FREE Selfie Stick + Cover + OTG","KSh 13,499","KSh 15,000",10%,4.5 out of 5,24
"Huawei Y9s, 6.59"", 128 GB + 6 GB (Dual SIM) - Black","KSh 24,799","KSh 32,999",Official Store,4.5 out of 5,37
"Huawei Y6p, 6.3"", 64GB +3GB,5000 MAh- Emerald Green + FREE 3D PROTECTOR & PHONE COVER","KSh 15,499","KSh 19,999",23%,NA,NA
"Huawei Y6s, 6.09"" - 3GB/64GB, 3020 MAh, 4G, Dual Sim - Orchid Blue + FREE Headphones","KSh 13,300","KSh 14,999",11%,NA,NA
"Huawei Y9A, 6.63""+128GB + 8GB (Dual SIM) 4200 MAh -Black+FREE BLUETOOTH HEADPHONES","KSh 30,900","KSh 39,000",21%,NA,NA
"Huawei Y6p, 64GB + 3GB, 6.3"",13MP Camera, 5000 MAh ,(Dual SIM) - Emerald Green","KSh 14,399","KSh 22,000",35%,4.7 out of 5,3
"Huawei Nova 7i, 6.4"", 128GB + 8GB, 4200 MAh, 48MP, -Sakura Pink + FREE GIFT BUNDLE","KSh 28,999","KSh 35,000",17%,4.5 out of 5,2
"Huawei Y6p 6.3"", 3GB+64GB,Dual, 5000MAh, Black+Free HEADSET, RING, COVER, GITBAG & OTG","KSh 16,599","KSh 21,999",25%,NA,NA
"Huawei Y7p, 6.39"" 64GB+4GB,48MP+8MP+2MP- Blue+Free Selfiestick,OTGcable,RingStand","KSh 17,593","KSh 25,999",32%,NA,NA
"Huawei Y8s, 6.5"", 64GB + 4GB, 4000 MAh, 4G (Dual SIM) - Midnight Black","KSh 15,999","KSh 20,999",Official Store,NA,NA
"Huawei Y6s, 6.09"" - 3GB/64GB, 3020 MAh, 4G, Dual Sim - Starry Black","KSh 12,499","KSh 18,000",31%,5 out of 5,1
"Huawei Y6P, 6.3"", 64 GB + 3 GB RAM, 5000 MAh - Emerald Green","KSh 14,450","KSh 19,999",28%,3.2 out of 5,5
"Huawei Y6p,6.3"",64GB+3GB,4G Dual Sim-5000MAh-Phantom Purple+Free Ring&Selfie Stick&Ring","KSh 14,999","KSh 18,000",17%,4.3 out of 5,7
"Huawei Y5 Prime 2019 5.7"", 32GB+2GB, Dual Sim Black","KSh 10,899","KSh 14,900",27%,5 out of 5,2
"Huawei Y6p, 6.3"", 64GB+3GB RAM(Dual SIM), 5000 MAh,Phantom Purple + FREE GIFTS INCLUDED","KSh 15,188","KSh 20,000",24%,4 out of 5,1
"Huawei Y6s, 6.09'', 3GB+64GB,Dual SIM - Blue + FREE 3D PROTECTOR & PHONE COVER","KSh 13,299","KSh 15,999",17%,NA,NA
"Huawei P30 Lite, 6.15"", 6GB + 128GB , 48MP Triple Camera (Dual SIM), Black","KSh 24,690","KSh 40,000",38%,4.3 out of 5,27
"Huawei Y9 Prime 2019, 6.59"", 128 GB + 4 GB (Dual SIM) - Black","KSh 22,250",NA,NA,4.5 out of 5,23
"Huawei Y6p,6.3"",64GB + 3GB,4G,5000MAh PhantomPurple+Free OTGcable,RingStand,Selfisetick","KSh 14,890","KSh 20,999",29%,5 out of 5,2
"Huawei Y6 Prime 2019, 32gb+2gb, 6.09"", Blue","KSh 12,600","KSh 20,000",37%,NA,NA
"Huawei Y6S,6.09'',3+64GB, 13MP Camera- Dual Sim-Blue+Free Selfiestick +OTG Cable","KSh 13,199","KSh 15,999",18%,4.8 out of 5,5
"Huawei Y6S, 6.09"" - 3GB + 64GB ROM, 3020 MAh, 4G, Dual Sim - BLUE + FREE RINGSTERN","KSh 12,798","KSh 19,899",36%,4.3 out of 5,16
"Huawei Nova 7i, 6.4"", 128 GB + 8GB, 4200 MAh, Dual SIM- Sakura Pink","KSh 25,699","KSh 35,000",Official Store,NA,NA
"Huawei Y7p, 6.39"", 64GB ROM+ 4GB RAM, (Dual SIM), 4000mAh, Aurora Blue+ Free Gifts","KSh 17,599","KSh 20,000",12%,NA,NA
"Huawei P30 Lite, 6.15"", 6GB + 128GB , 48MP Triple Camera (Dual SIM), Peacock Blue","KSh 24,399","KSh 40,000",39%,4.5 out of 5,8
"Huawei Y9A 6.63"" 128GB + 8GB RAM (Dual SIM), 4200 MAh - Space Silver","KSh 29,999","KSh 38,750",Official Store,NA,NA
"Huawei Y6s, 6.09"" - 3GB/64GB, 3020 MAh, 4G, Dual Sim - Starry Black + Free Back Cover","KSh 13,149","KSh 16,999",23%,4.5 out of 5,4
"Huawei Y6s, 6.09'', 3 GB + 64 GB, 3020 MAh, (Dual SIM) - Black","KSh 12,999","KSh 15,999",Official Store,NA,NA
"Huawei Y6p, 6.3"", 64 GB + 3 GB(Dual Sim), 5000 MAh Emerald Green","KSh 14,899","KSh 17,999",Official Store,NA,NA
"Huawei Y7p , 6.39"", 64 GB + 4 GB, (Dual SIM) - Midnight Black","KSh 17,299","KSh 22,000",21%,4 out of 5,4
"Huawei P40 Pro, 6.58"", 256GB + 8GB RAM (Dual SIM), 5G, 4200mAh, Silver Frost","KSh 110,000",NA,NA,NA,NA
"Huawei Y6p, 6.3"", 64GB + 3GB RAM (Dual SIM), 5000 MAh, Purple+FREE SELFIESTICK+RING+OTG","KSh 14,799","KSh 22,000",33%,2 out of 5,2
"Huawei Y7p, 6.39"", 64 GB + 4 GB, (Dual SIM) - Midnight Black","KSh 17,099","KSh 23,000",Official Store,NA,NA
"Huawei Y6s, 6.09"" - 3GB/64GB, 3020 MAh, 4G, Dual Sim - Starry Black + FREE GIFTS","KSh 13,299","KSh 17,999",26%,NA,NA
"Huawei Y6p, 6.3"", 64 GB + 3 GB(Dual Sim), 5000 MAh, Midnight Black","KSh 14,750","KSh 17,500",16%,4 out of 5,2
"Huawei Y9A 6.63"", 128GB+8GB (Dual SIM) 4200 MAh - Midnight Black","KSh 29,999","KSh 38,750",Official Store,NA,NA
"Huawei Y8p, 6.3"" OLED, 128GB + 6GB(Dual SIM), Midnight Black","KSh 20,699","KSh 28,999",Official Store,NA,NA
"Huawei Y6s, 6.09"", 3GB RAM + 64GB, (Dual SIM), 4G - Blue + Free OTG Cable.","KSh 13,199","KSh 20,000",34%,5 out of 5,1
"Huawei Y6s, 6.09"" - 3GB/64GB, 3020 MAh, 4G, Dual Sim - Orchid Blue + FREE Selfie Stick","KSh 13,199","KSh 14,499",9%,NA,NA
"Huawei Y6p,6.3"",64 GB+3 GB(Dual Sim), 5000 MAh-Black + FREE 3D PROTECTOR & SCREEN COVER","KSh 15,499","KSh 18,999",18%,NA,NA
